Date,Price,Open,High,Low,Vol.,Change %
Jan 22 2018,971.50,948.00,974.30,940.00,20.89,0.04
Jan 19 2018,931.30,923.00,934.40,922.10,4.56,0.01
Jan 18 2018,919.70,929.00,929.60,915.10,4.29,-0.01
Jan 17 2018,924.50,926.00,929.00,907.00,6.04,0.00
Jan 16 2018,922.95,947.70,947.70,920.00,4.95,-0.03
Jan 15 2018,949.15,950.00,958.50,945.20,5.08,0.00
Jan 12 2018,949.00,943.00,952.80,938.25,6.89,0.01
Jan 11 2018,937.75,941.80,942.65,935.00,3.59,0.00
Jan 10 2018,942.35,943.00,947.40,935.50,5.36,0.00
Jan 09 2018,940.95,928.15,943.90,924.00,6.53,0.01
Jan 08 2018,928.55,926.10,931.00,923.50,4.04,0.01
Jan 05 2018,923.25,921.80,926.90,920.25,3.40,0.00
Jan 04 2018,920.30,918.15,921.80,915.70,4.12,0.01
Jan 03 2018,914.80,925.00,926.00,913.05,6.18,0.00
Jan 02 2018,911.15,913.00,919.55,906.40,4.34,0.00
Jan 01 2018,909.75,922.70,922.70,907.50,4.32,-0.01
Dec 29 2017,921.05,926.50,932.30,918.50,5.07,0.00
Dec 28 2017,924.20,925.25,934.40,919.10,7.09,0.00
Dec 27 2017,923.75,933.00,937.50,919.00,4.35,-0.01
Dec 26 2017,929.80,924.85,938.90,918.15,5.30,0.01
Dec 22 2017,920.40,914.65,922.40,909.30,4.87,0.01
Dec 21 2017,912.95,918.45,923.95,910.00,4.15,-0.01
Dec 20 2017,918.15,925.90,927.40,917.00,4.77,-0.01
Dec 19 2017,925.95,923.60,927.00,920.00,4.06,0.01
Dec 18 2017,921.00,911.95,932.65,862.65,8.49,0.00
Dec 15 2017,919.75,931.00,932.95,917.70,11.16,0.00
